Years Since Launch,Fuel Remaining [lbm]
11.087,50.072
11.094,50.032
11.115,49.992
11.137,49.958
11.145,49.933
11.145,49.909
11.159,49.875
11.181,49.835
11.195,49.825
11.203,49.773
11.203,49.72
11.209,49.704
11.231,49.647
11.253,49.602
11.267,49.556
11.311,49.521
11.325,49.476
11.347,49.443
11.383,49.408
11.391,49.381
11.398,49.357
11.413,49.329
11.413,49.302
11.419,49.283
11.434,49.264
11.448,49.243
11.478,49.199
11.485,49.158
11.514,49.144
11.536,49.127
11.557,49.104
11.564,49.076
11.564,49.049
11.572,49.028
11.579,49.002
11.586,48.961
11.586,48.92
11.593,48.901
11.601,48.87
11.608,48.828
11.615,48.781
11.622,48.731
11.644,48.714
11.651,48.69
11.659,48.659
11.666,48.629
11.673,48.579
11.68,48.533
11.688,48.491
11.695,48.45
11.71,48.425
11.717,48.398
11.717,48.364
11.738,48.334
11.767,48.316
11.774,48.295
11.804,48.267
11.825,48.221
11.832,48.179
11.883,48.155
11.897,48.121
11.905,48.091
11.912,48.058
11.912,48.026
11.927,47.994
11.941,47.949
11.973,47.931
11.978,47.894
11.985,47.883
12,47.852
12.007,47.833
12.013,47.805
12.021,47.795
12.035,47.759
12.046,47.721
12.05,47.68
12.064,47.648
12.071,47.613
12.079,47.585
12.086,47.541
12.093,47.517
12.1,47.502
12.108,47.473
12.129,47.455
12.137,47.422
12.166,47.383
12.173,47.357
12.181,47.348
12.188,47.322
12.195,47.286
12.209,47.239
12.216,47.201
12.224,47.169
12.231,47.143
12.238,47.116
12.253,47.078
12.267,47.057
12.268,47.033
12.272,47.01
12.275,46.984
12.289,46.965
12.296,46.944
12.303,46.929
12.311,46.901
12.325,46.871
12.332,46.845
12.347,46.829
12.361,46.797
12.362,46.767
12.368,46.74
12.376,46.721
12.378,46.708
12.383,46.679
12.39,46.653
12.391,46.638
12.398,46.613
12.405,46.594
12.405,46.548
12.419,46.502
12.426,46.491
12.434,46.457
12.441,46.436
12.448,46.419
12.448,46.403
12.456,46.369
12.463,46.34
12.47,46.311
12.477,46.291
12.492,46.267
12.506,46.244
12.513,46.228
12.528,46.202
12.55,46.193
12.564,46.157
12.579,46.134
12.586,46.119
12.593,46.09
12.6,46.07
12.644,46.044
12.651,46.024
12.687,46.01
12.709,45.984
12.717,45.962
12.724,45.937
12.731,45.924
12.752,45.901
12.76,45.884
12.768,45.86
12.781,45.836
12.789,45.808
12.796,45.778
12.803,45.74
12.818,45.695
12.825,45.667
12.832,45.645
12.869,45.618
12.876,45.6
12.891,45.582
12.905,45.556
12.919,45.539
12.941,45.514
12.948,45.486
12.956,45.462
12.97,45.428
12.97,45.409
12.984,45.367
13.013,45.325
13.014,45.299
13.021,45.268
13.028,45.229
13.035,45.193
13.042,45.164
13.043,45.119
13.071,45.09
13.079,45.069
13.086,45.048
13.093,45.023
13.1,45.003
13.115,44.971
13.122,44.959
13.144,44.93
13.151,44.902
13.158,44.859
13.166,44.815
13.166,44.785
13.173,44.77
13.187,44.745
13.194,44.737
13.209,44.687
13.21,44.661
13.224,44.629
13.23,44.586
13.231,44.562
13.245,44.534
13.253,44.491
13.26,44.469
13.26,44.446
13.267,44.402
13.274,44.365
13.282,44.34
13.296,44.324
13.318,44.301
13.325,44.261
13.332,44.235
13.339,44.212
13.347,44.192
13.354,44.162
13.361,44.14
13.368,44.119
13.369,44.097
13.376,44.073
13.383,44.041
13.39,44.023
13.397,43.985
13.405,43.948
13.412,43.92
13.419,43.892
13.42,43.842
13.426,43.823
13.427,43.803
13.434,43.777
13.434,43.754
13.441,43.735
13.448,43.691
13.455,43.666
13.463,43.639
13.47,43.611
13.477,43.595
13.478,43.563
13.492,43.551
13.506,43.536
13.513,43.512
13.521,43.486
13.55,43.463
13.557,43.425
13.564,43.385
13.571,43.359
13.579,43.335
13.629,43.313
13.665,43.289
13.781,43.274
13.818,43.255
13.949,43.24
13.978,43.216
14.02,43.191
14.05,43.177
14.057,43.153
14.065,43.133
14.086,43.121
14.086,43.106
14.093,43.084
14.1,43.068
14.101,43.045
14.115,43.012
14.12,42.982
14.129,42.958
14.136,42.923
14.166,42.885
14.185,42.86
14.194,42.843
14.209,42.824
14.419,42.802
14.578,42.779
